open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1684699200000,26902.13000000,26926.29000000,26820.00000000,26845.80000000,714.82489000,1684702799999,19213278.43464700,19707,369.79553000,9938148.13604530,0
1684702800000,26845.79000000,26846.65000000,26666.03000000,26745.15000000,2132.48646000,1684706399999,57016942.69541520,43650,918.95845000,24566551.84310300,0
1684706400000,26745.15000000,26794.81000000,26731.42000000,26754.81000000,515.25099000,1684709999999,13792769.91675120,16219,269.07554000,7202413.04702600,0
1684710000000,26754.82000000,26804.63000000,26726.15000000,26747.78000000,427.47877000,1684713599999,11446471.21234260,16270,232.86225000,6235231.44743640,0
1684713600000,26747.78000000,26779.54000000,26549.29000000,26656.11000000,1814.57122000,1684717199999,48337252.61417660,46881,801.14651000,21339136.25856830,0
1684717200000,26656.10000000,26688.23000000,26560.00000000,26584.17000000,1348.42270000,1684720799999,35907026.88270580,32441,688.42802000,18331497.39592580,0
1684720800000,26584.17000000,26666.04000000,26538.21000000,26649.67000000,1427.40856000,1684724399999,37988444.37332160,30076,727.93809000,19369559.97909630,0
1684724400000,26649.67000000,26675.69000000,26635.77000000,26644.80000000,627.38681000,1684727999999,16722725.64414240,17462,279.59981000,7452393.34517320,0
1684728000000,26644.80000000,26728.79000000,26643.12000000,26691.67000000,767.58316000,1684731599999,20482175.05649700,19350,368.19535000,9824572.66706460,0
1684731600000,26691.66000000,26800.00000000,26691.66000000,26756.09000000,941.74353000,1684735199999,25190048.08091760,23882,464.83481000,12433156.63613260,0
1684735200000,26756.08000000,26913.14000000,26751.46000000,26821.69000000,1452.87038000,1684738799999,39004217.04217840,40960,722.28504000,19389012.31108600,0
1684738800000,26821.68000000,26875.77000000,26795.03000000,26843.13000000,857.76414000,1684742399999,23021925.69039460,24643,371.34484000,9966427.18819030,0
1684742400000,26843.12000000,26900.00000000,26826.62000000,26826.62000000,694.36389000,1684745999999,18654877.22947880,22546,301.75837000,8106974.66431580,0
1684746000000,26826.62000000,26887.62000000,26824.66000000,26862.57000000,601.11258000,1684749599999,16143981.53642850,22037,312.33213000,8388192.58242490,0
1684749600000,26862.56000000,26875.56000000,26795.75000000,26831.77000000,661.21279000,1684753199999,17742034.46251930,23872,285.39541000,7657617.23741020,0
1684753200000,26831.77000000,26834.12000000,26767.34000000,26826.78000000,668.56744000,1684756799999,17916363.57601610,22028,318.75162000,8541583.82741910,0
1684756800000,26826.79000000,26866.00000000,26731.00000000,26731.60000000,971.30340000,1684760399999,26027313.17987290,30664,411.33548000,11023380.30740540,0
